[2025-10-15T13:16:07.599Z] [INFO] tenantId: 2d2199a8-cb98-4269-b2ae-c63cf2b7c7f0, clientId: 72e913b2-423c-4625-8fa3-c948512a9f1d, secret: ***
[2025-10-15T13:16:07.600Z] [INFO] Checking connectivity to: https://login.microsoftonline.com/2d2199a8-cb98-4269-b2ae-c63cf2b7c7f0/oauth2/v2.0/token
[2025-10-15T13:16:09.933Z] [ERROR] [TEST] Connectivity to Entra Endpoint URL ❌ Failed after: 2332.8ms
[2025-10-15T13:16:09.933Z] [ERROR]    Type: FetchError
[2025-10-15T13:16:09.933Z] [ERROR]    Message: request to https://login.microsoftonline.com/2d2199a8-cb98-4269-b2ae-c63cf2b7c7f0/oauth2/v2.0/token failed, reason:
[2025-10-15T13:16:09.933Z] [ERROR]    Code: ETIMEDOUT
[2025-10-15T13:16:09.934Z] [ERROR]    Stack: FetchError: request to https://login.microsoftonline.com/2d2199a8-cb98-4269-b2ae-c63cf2b7c7f0/oauth2/v2.0/token failed, reason:
[2025-10-15T13:16:09.934Z] [INFO] MSAL - ServicePrincipal - clientSecret is used.
[2025-10-15T13:16:09.935Z] [INFO] MSAL v3 - getMSALToken called.
[2025-10-15T13:16:09.935Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Info - acquireTokenByClientCredential called
[2025-10-15T13:16:09.935Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - initializeRequestScopes called
[2025-10-15T13:16:09.936Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [79f53132-6356-4873-a732-c4e97d46d4ed] : @azure/msal-node@3.8.0 : Verbose - createAuthority called
[2025-10-15T13:16:09.937Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Executing function authorityResolveEndpointsAsync
[2025-10-15T13:16:09.937Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Retrieving all cache keys
[2025-10-15T13:16:09.937Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Getting cache key-value store
[2025-10-15T13:16:09.937Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Executing function authorityUpdateCloudDiscoveryMetadata
[2025-10-15T13:16:09.937Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Attempting to get cloud discovery metadata  from authority configuration
[2025-10-15T13:16:09.937Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Known Authorities:
[2025-10-15T13:16:09.937Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Authority Metadata: N/A
[2025-10-15T13:16:09.937Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Canonical Authority: https://login.microsoftonline.com/2d2199a8-cb98-4269-b2ae-c63cf2b7c7f0/
[2025-10-15T13:16:09.937Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Did not find cloud discovery metadata in the config... Attempting to get cloud discovery metadata from the hardcoded values.
[2025-10-15T13:16:09.937Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Found cloud discovery metadata from hardcoded values.
[2025-10-15T13:16:09.937Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Returning result from authorityUpdateCloudDiscoveryMetadata
[2025-10-15T13:16:09.937Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Executing function authorityUpdateEndpointMetadata
[2025-10-15T13:16:09.937Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Attempting to get endpoint metadata from authority configuration
[2025-10-15T13:16:09.937Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Did not find endpoint metadata in the config... Attempting to get endpoint metadata from the hardcoded values.
[2025-10-15T13:16:09.937Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Returning result from authorityUpdateEndpointMetadata
[2025-10-15T13:16:09.938Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Item key: authority-metadata-72e913b2-423c-4625-8fa3-c948512a9f1d-login.windows.net
[2025-10-15T13:16:09.938Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Getting cache key-value store
[2025-10-15T13:16:09.938Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Setting cache key value store
[2025-10-15T13:16:09.938Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Returning result from authorityResolveEndpointsAsync
[2025-10-15T13:16:09.938Z] [INFO] [Wed, 15 Oct 2025 13:16:09 GMT] : [79f53132-6356-4873-a732-c4e97d46d4ed] : @azure/msal-node@3.8.0 : Verbose - buildOauthClientConfiguration called
